month,melt_on_glacier_monthly
2012-10,115189.17155617695
2012-11,0.0
2012-12,0.0
2013-01,0.0
2013-02,0.0
2013-03,0.0
2013-04,0.0
2013-05,755972.0165755536
2013-06,2245679.780761403
2013-07,3961600.7120634504
2013-08,3961600.7120634504
2013-09,2516618.2910999046
2013-10,1155.5532567162816
2013-11,0.0
2013-12,0.0
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,929163.7780578019
2014-06,1871218.8199058925
2014-07,4248739.369761414
2014-08,4069278.8015109617
2014-09,2633799.6036287686
2014-10,1108596.9665587307
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,1108870.773114305
2015-06,3030536.5406033504
2015-07,4415977.091766158
2015-08,4013750.215862774
2015-09,1779244.353450636
2015-10,1064204.6596400212
2015-11,0.0
2015-12,0.0
2016-01,0.0
2016-02,0.0
2016-03,0.0
2016-04,176344.676714334
2016-05,1066353.08967504
2016-06,2268641.632065729
2016-07,3426412.0418426334
2016-08,3871688.4921954568
2016-09,1823351.5925393358
2016-10,277709.8630633733
2016-11,0.0
2016-12,0.0
2017-01,0.0
2017-02,0.0
2017-03,0.0
2017-04,0.0
2017-05,626972.9491200716
2017-06,2133667.3924815096
2017-07,3823199.859422918
2017-08,4267797.955651359
2017-09,2489364.865323959
2017-10,35948.29976664362
2017-11,0.0
2017-12,0.0
2018-01,0.0
2018-02,0.0
2018-03,0.0
2018-04,0.0
2018-05,1422172.7096292018
2018-06,1866102.2043327033
2018-07,3996931.264542223
2018-08,3686175.199188557
2018-09,1644123.9093279159
2018-10,102253.78169691142
2018-11,0.0
2018-12,0.0
2019-01,0.0
2019-02,0.0
2019-03,0.0
2019-04,0.0
2019-05,1111287.1098152727
2019-06,2086279.0451370375
2019-07,3327182.790032541
2019-08,3903340.823084839
2019-09,1864701.6494681218
2019-10,0.0
2019-11,0.0
2019-12,0.0
