date,volume_m3,melt_on_glacier_monthly,liq_prcp_on_glacier_monthly,melt_off_glacier_monthly,liq_prcp_off_glacier_monthly,all_runoff_on_glacier,all_runoff_off_glacier,basin_runoff
1987-01,254314505.28385937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-02,254314505.28385937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-03,254314505.28385937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-04,254314505.28385937,4054818.9290127004,0.0,59413173.44610487,0.0,4054818.9290127004,4225930.619571761,8280749.548584461
1987-05,254314505.28385937,529577956.6038908,164990402.45517358,312566633.7316412,156993124.4368729,694568359.0590644,33398770.755160324,727967129.8142247
1987-06,254314505.28385937,2146282912.5393114,235748186.68425208,700519290.5877328,56074853.791408256,2382031099.2235637,53814906.28876896,2435846005.5123324
1987-07,254314505.28385937,3234894893.8312144,189087732.9613639,947381784.0330772,44973174.65949577,3423982626.792578,70584063.46913874,3494566690.261717
1987-08,254314505.28385937,3325603330.7546396,91981679.38160403,99594198.03518444,21877189.32114897,3417585010.136244,8639997.250721596,3426225007.3869653
1987-09,254314505.28385937,2418449750.138637,147386132.34619677,16355913.809268434,35054745.0571394,2565835882.4848337,3656729.053077617,2569492611.5379114
1987-10,254314505.28385937,263353043.0286633,6552512.679547835,9306625.989118734,12077395.129398324,269905555.7082111,1520999.2056102653,271426554.9138214
1987-11,254314505.28385937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12,254314505.28385937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-01,250911418.92602,1.6923409894927123e-07,0.0,4.0669399445156534e-08,0.0,1.6923409894927123e-07,2.892726485158812e-09,1.7212682543443003e-07
1988-02,250911418.92602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-03,250911418.92602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-04,250911418.92602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-05,250911418.92602,293306869.1095664,67341544.76085915,238391042.84402913,111650056.15844503,360648413.8704255,24897666.84024998,385546080.7106755
1988-06,250911418.92602,1512131540.0466115,299157477.95529586,552678960.02455,81469208.43064511,1811289018.0019073,45105588.659577854,1856394606.6614852
1988-07,250911418.92602,3142177709.4310145,259860097.87049526,944402609.0310853,62503414.280981906,3402037807.30151,71619049.24680755,3473656856.5483174
1988-08,250911418.92602,3277979194.191243,58294374.456340306,516172194.2744214,14021380.992133554,3336273568.6475835,37711523.119559124,3373985091.767143
1988-09,250911418.92602,1829098395.8580573,644933909.0373753,14772212.626978489,158844260.85241067,2474032304.8954325,12348964.527272193,2486381269.4227047
1988-10,250911418.92602,531669326.1578359,279767497.853393,14565824.186089972,264928948.3340097,811436824.0112289,19879859.106909364,831316683.1181383
1988-11,250911418.92602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12,250911418.92602,1.6923409894927123e-07,0.0,4.0669399445156534e-08,0.0,1.6923409894927123e-07,2.892726485158812e-09,1.7212682543443003e-07
1989-01,251580084.8373465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-02,251580084.8373465,1.6931072192008556e-07,0.0,4.059980050432157e-08,0.0,1.6931072192008556e-07,2.88777606291902e-09,1.7219849798300457e-07
1989-03,251580084.8373465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-04,251580084.8373465,0.0,0.0,38645299.8508735,0.0,0.0,2748756.6556343427,2748756.6556343427
1989-05,251580084.8373465,264770782.88340536,42961753.75154261,227584204.05177477,78874325.54219462,307732536.63494796,21797732.87173232,329530269.50668025
1989-06,251580084.8373465,2372849335.3486476,199099769.9973175,758429615.1481845,47787280.24532796,2571949105.345965,57344465.32047502,2629293570.66644
