geometry,elevation
POINT (643588.1863490704 5358229.820711046),1211.9304
POINT (643588.1863490704 5358329.820711046),1239.8916
POINT (643588.1863490704 5358429.820711046),-32767.0
POINT (643588.1863490704 5358529.820711046),-32767.0
POINT (643588.1863490704 5358629.820711046),1475.0704
POINT (643588.1863490704 5358729.820711046),-32767.0
POINT (643588.1863490704 5358829.820711046),-32767.0
POINT (643588.1863490704 5358929.820711046),1507.898
POINT (643588.1863490704 5359029.820711046),1446.9087
POINT (643588.1863490704 5359129.820711046),1411.7708
POINT (643588.1863490704 5359229.820711046),1442.4283
POINT (643688.1863490704 5356729.820711046),971.96466
POINT (643688.1863490704 5357129.820711046),860.9895
POINT (643688.1863490704 5357229.820711046),844.8759
POINT (643688.1863490704 5357329.820711046),841.7105
POINT (643688.1863490704 5357429.820711046),852.69824
POINT (643688.1863490704 5357529.820711046),858.86896
POINT (643688.1863490704 5357629.820711046),899.12646
POINT (643688.1863490704 5357729.820711046),936.8228
POINT (643688.1863490704 5357829.820711046),974.9965
POINT (643688.1863490704 5357929.820711046),998.28973
POINT (643688.1863490704 5358029.820711046),1041.5724
POINT (643688.1863490704 5358129.820711046),1093.9705
POINT (643688.1863490704 5358229.820711046),1134.2681
POINT (643688.1863490704 5358329.820711046),1169.844
POINT (643688.1863490704 5358429.820711046),1217.6528
POINT (643688.1863490704 5358529.820711046),1329.6395
POINT (643688.1863490704 5358629.820711046),1426.849
POINT (643688.1863490704 5358729.820711046),1462.6676
POINT (643688.1863490704 5358829.820711046),1483.2272
POINT (643688.1863490704 5358929.820711046),1462.112
POINT (643688.1863490704 5359029.820711046),1377.0675
POINT (643688.1863490704 5359129.820711046),1348.8853
POINT (643688.1863490704 5359229.820711046),1379.9362
POINT (643788.1863490704 5356729.820711046),998.5634
POINT (643788.1863490704 5356929.820711046),934.41077
POINT (643788.1863490704 5357029.820711046),918.4265
POINT (643788.1863490704 5357129.820711046),899.2105
POINT (643788.1863490704 5357229.820711046),868.88153
POINT (643788.1863490704 5357329.820711046),867.3497
