X_CRS3413	Y_CRS3413	Z
-4574243.77304262	-1135913.5189814824	1867.7031175054
-4574219.765859582	-1136021.8820178327	1886.2292974221
-4574195.758036681	-1136130.244889304	1949.0066489782
-4574171.749573922	-1136238.6075958773	2018.3459777551
-4574279.438915785	-1135239.334360573	1888.8581294214
-4574255.435736782	-1135347.6977459078	1808.5074322829
-4574231.431917908	-1135456.0609664824	1748.7734749896
-4574207.4274591645	-1135564.424022279	1748.8151407707
-4574183.422360556	-1135672.7869132778	1789.0993940776
-4574159.41662209	-1135781.1496394617	1813.1149071165
-4574135.410243769	-1135889.5122008086	1852.269485066
-4574111.4032256	-1135997.8745973015	1863.5888625674
-4574087.395567582	-1136106.2368289193	1941.7319021482
-4574195.078142408	-1135106.9686736718	1929.7945536192
-4574171.075768013	-1135215.3315838769	1790.6741924803
-4574147.072753758	-1135323.6943293458	1743.951416729
-4574123.069099649	-1135432.0569100613	1736.2823174376
-4574099.064805692	-1135540.419326	1768.0234992689
-4574075.059871889	-1135648.7815771478	1801.6562135504
-4574051.054298244	-1135757.1436634832	1812.3620572277
-4574027.0480847685	-1135865.5055849873	1845.453339524
-4574003.041231461	-1135973.8673416418	1863.6104285627
-4573979.0337383235	-1136082.2289334289	1939.013359365
-4573955.025605366	-1136190.5903603248	2003.0963728918
-4574086.715469769	-1135082.9667015641	1885.8641579293
-4574062.713260098	-1135191.3289719182	1768.759561389
-4574038.710410588	-1135299.6910775416	1731.5009473052
-4574014.706921238	-1135408.0530184133	1723.5666187844
-4573990.702792063	-1135516.4147945158	1777.5748369204
-4573966.69802306	-1135624.7764058302	1833.9526548718
-4573942.692614238	-1135733.1378523374	1837.3753934483
-4573918.686565597	-1135841.4991340174	1842.3660758633
-4573894.679877145	-1135949.860250853	1877.4315577253
-4573870.672548886	-1136058.2212028245	1939.6233463731
-4574002.354842104	-1134950.6030989415	1896.7575864964
-4573978.353436977	-1135058.9648941704	1820.3848771024
-4573954.351392024	-1135167.326524691	1753.9751930613
-4573930.34870725	-1135275.6879904852	1716.1514462816
-4573906.345382661	-1135384.0492915337	1708.8656554208
-4573882.3414182635	-1135492.41042782	1744.0382068708
-4573858.336814054	-1135600.771399318	1807.6810838826
-4573834.331570044	-1135709.1322060162	1846.4937047663
-4573810.32568624	-1135817.4928478927	1853.1188369454
-4573786.319162639	-1135925.8533249288	1908.7243309533
-4573869.992044008	-1135034.9632514827	1764.0568363865
-4573845.9901637705	-1135143.3242421893	1712.2384175034
-4573821.987643732	-1135251.685068175	1689.6074798886
-4573797.984483896	-1135360.0457294197	1688.1951732822
-4573773.9806842655	-1135468.4062259058	1702.5272698282
-4573749.976244851	-1135576.7665576104	1757.9309145022
-4573725.97116565	-1135685.126724519	1801.7022399931
-4573701.965446672	-1135793.4867266088	1845.796550175
-4573785.632366586	-1134902.6012578856	1853.7462891289
-4573761.631290846	-1135010.9617734968	1747.5541324707
-4573737.629575318	-1135119.322124411	1691.1835389182
-4573713.627220008	-1135227.6823106073	1671.8900940337
-4573689.624224919	-1135336.0423320672	1669.7494859364
-4573665.620590058	-1135444.4021887702	1693.198918634
